,Unnamed: 0,가게명,메인메뉴,지역(구),구체적 위치,후기,x,y,카테고리1
113,113,포로이 상일동,"베트남음식, 월남쌈",강동구,서울특별시 강동구 상일동 268-3,"푸짐한, 점심식사, 저녁식사, 반려동물동반, 주차, 배달",127.131316636185,37.5276597771682,음식점
114,114,커피 코너칼럼 성내동,"커피, 수플레",강동구,서울특별시 강동구 성내동 423-37,"감성적인, 반려동물동반, 주차",127.149855333924,37.5631548852099,카페
115,115,33Acre 고덕,브런치,강동구,서울특별시 강동구 고덕동 584-8,"고급스러운, 점심식사, 저녁식사, 야외테라스, 정원, 반려동물동반",127.130435922027,37.5370222391813,카페
116,116,버거주의 강동역,"버거, 수제버거",강동구,서울특별시 강동구 천호동 450,"캐주얼한, 점심식사, 저녁식사, 테이크아웃, 셀프바, 주차",127.139999143206,37.5348132097042,음식점
117,117,바하마스 길동,"카페, 커피",강동구,서울특별시 강동구 길동 247,"차분한, 테이크아웃, 야외테라스, 바자리",127.128067401596,37.5251504520681,카페
118,118,페이보릿 버거 올림픽공원,"버거, 수제버거",강동구,서울특별시 강동구 성내동 469-4,"반려동물동반, 주차",127.129980454761,37.5489169186333,음식점
119,119,포차훅 암사동,"포차, 술집",강동구,서울특별시 강동구 천호동 289-18,"지역주민이찾는, 저녁식사, 포장가능, 반려동물동반, 주차",126.834407717242,37.5604712394378,음식점
120,120,홍콩다방 마곡,"와플, 다방",강서구,서울특별시 강서구 마곡동 796-5,"이국적/이색적, 테이크아웃, 반려동물동반, 무료주차, 배달",126.833883095037,37.5595157170468,카페
121,121,르와조 마곡,"카페, 핸드드립커피",강서구,서울특별시 강서구 마곡동 797 에이스타워 120호,"깔끔한, 테이크아웃, 반려동물동반, 주차",126.827249959551,37.5688424911104,카페
122,122,쭌이네 생고기 마곡,"고깃집, 생고기",강서구,서울특별시 강서구 마곡동 757 D동 1층 101호,"존맛탱, 저녁식사, 포장가능, 연탄불, 반려동물동반, 야외좌석(테라스)",126.832400113969,37.5606235581316,음식점
123,123,카페 우드진 마곡,"카페, 커피",강서구,서울특별시 강서구 마곡동 772-5,"캐주얼한, 반려동물동반, 주차",126.834722616463,37.5604063584704,카페
124,124,커스텀커피 마곡점,"커피, 라떼",강서구,서울특별시 강서구 마곡동 796-6,"깔끔한, 테이크아웃, 반려동물동반",126.833883095037,37.5595157170468,카페
125,125,퍼플오션커피 마곡,"도넛, 우유",강서구,서울특별시 강서구 마곡동 797,"캐주얼한, 테이크아웃, 반려동물동반, 주차, 배달",126.843325592882,37.5387830618058,카페
126,126,올라솔 화곡동,"카페, 베이커리카페",강서구,서울특별시 강서구 화곡동 105-516,"여유로운, 반려동물동반, 배달",126.829245140395,37.5581167912649,카페
127,127,헬로우데어 마곡,"팬케이크, 카페",강서구,서울특별시 강서구 마곡동 799-11,"놀이방, 주차",126.838974383662,37.5577151017737,카페
128,128,브루클린커피 발산역,"커피, 스콘",강서구,서울시 강서구 내발산동 652 1층,"캐주얼한, 점심식사, 저녁식사, 테이크아웃, 주차, 배달",126.814311081839,37.5696916778337,카페
129,129,어보블커피 강서구,"커피, 카페",강서구,서울특별시 강서구 방화동 794 상가동 1층 1호,"느낌있는, 테이크아웃, 야외자리, 바자리, 반려동물동반, 배달",126.850178685519,37.5536831137212,카페
130,130,피스티스 강서구청,"멕시코음식, 퀘사디아",강서구,서울특별시 강서구 화곡동 1098-6,"지역주민이찾는, 점심식사, 저녁식사, 반려동물동반",126.822532533295,37.5709785990732,음식점
131,131,블리스냅 마곡,"말차테린느, 카페",강서구,서울특별시 강서구 방화동 197-7,"캐주얼한, 테이크아웃, 반려동물동반, 반려동물동반, 주차",126.834407717242,37.5604712394378,카페
132,132,김삼구 김치삼겹살 강서구,"고깃집, 김치삼겹살",강서구,서울특별시 강서구 마곡동 796-5,"힙한분위기, 점심식사, 저녁식사, 반려동물동반, 무료주차",126.79422627908,37.5424383868494,음식점
133,133,헤이더그린 강서구,"카페, 애견카페",강서구,서울특별시 강서구 오쇠동 115-11,"경관/야경이좋은, 정원, 반려동물동반, 반려동물동반, 무료주차",126.845000653017,37.5292629630067,카페
